date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:20:54	30621/30621	---M--	200	added ('OK')	image/jpeg	date:Fri,%2015%20Nov%202019%2012:11:07%20GMT	https://pbs.twimg.com/profile_images/1195313779606773760/_D0U_BQh_400x400.jpg	C:/My%20Web%20Sites/el%20tweet/pbs.twimg.com/profile_images/1195313779606773760/_D0U_BQh_400x400.jpg	(from https://tweetermusk.ug/)
06:20:55	23417/23417	---M--	200	added ('OK')	image/jpeg	date:Sat,%2027%20Feb%202021%2008:24:28%20GMT	https://pbs.twimg.com/profile_images/1365579038782226436/euCmiWrv_400x400.jpg	C:/My%20Web%20Sites/el%20tweet/pbs.twimg.com/profile_images/1365579038782226436/euCmiWrv_400x400.jpg	(from https://tweetermusk.ug/)
06:20:56	23102/23102	---M--	200	added ('OK')	image/jpeg	date:Sun,%2003%20May%202020%2014:21:26%20GMT	https://pbs.twimg.com/profile_images/1256952513317736452/w0kigzlU_400x400.jpg	C:/My%20Web%20Sites/el%20tweet/pbs.twimg.com/profile_images/1256952513317736452/w0kigzlU_400x400.jpg	(from https://tweetermusk.ug/)
06:20:56	24497/24497	---M--	200	added ('OK')	image/jpeg	date:Fri,%2006%20Nov%202020%2023:26:19%20GMT	https://pbs.twimg.com/profile_images/1324856165197438976/FnBSLcqR_400x400.jpg	C:/My%20Web%20Sites/el%20tweet/pbs.twimg.com/profile_images/1324856165197438976/FnBSLcqR_400x400.jpg	(from https://tweetermusk.ug/)
06:20:57	11360/11360	---M--	200	added ('OK')	image/jpeg	date:Sun,%2028%20Oct%202018%2023:59:53%20GMT	https://pbs.twimg.com/profile_images/1056697593915494400/MUBeUYt-_400x400.jpg	C:/My%20Web%20Sites/el%20tweet/pbs.twimg.com/profile_images/1056697593915494400/MUBeUYt-_400x400.jpg	(from https://tweetermusk.ug/)
06:20:58	0/0	---M--	404	error ('Not%20Found')	image/jpeg	date:Tue,%2009%20Mar%202021%2004:35:10%20GMT	https://pbs.twimg.com/profile_images/1345357051711537152/PTvjLRYo_400x400.jpg	C:/My%20Web%20Sites/el%20tweet/pbs.twimg.com/profile_images/1345357051711537152/PTvjLRYo_400x400.d.delayed	(from https://tweetermusk.ug/)
06:21:03	134688/134688	---M--	200	added ('OK')	image/png	date:Fri,%2005%20Jul%202019%2006:39:55%20GMT	https://pbs.twimg.com/profile_images/1147032842200895493/tJN3wOoO_400x400.png	C:/My%20Web%20Sites/el%20tweet/pbs.twimg.com/profile_images/1147032842200895493/tJN3wOoO_400x400.png	(from https://tweetermusk.ug/)
06:21:04	24155/24155	---M--	200	added ('OK')	image/jpeg	date:Mon,%2028%20Oct%202019%2020:12:13%20GMT	https://pbs.twimg.com/profile_images/1188911868863221772/fpcyKuIW_400x400.jpg	C:/My%20Web%20Sites/el%20tweet/pbs.twimg.com/profile_images/1188911868863221772/fpcyKuIW_400x400.jpg	(from https://tweetermusk.ug/)
06:21:05	21750/21750	---M--	200	added ('OK')	image/jpeg	date:Sun,%2020%20Mar%202016%2008:00:22%20GMT	https://pbs.twimg.com/profile_images/711462874330353664/GLWEK_FQ_400x400.jpg	C:/My%20Web%20Sites/el%20tweet/pbs.twimg.com/profile_images/711462874330353664/GLWEK_FQ_400x400.jpg	(from https://tweetermusk.ug/)
06:21:05	16272/16272	---M--	200	added ('OK')	image/jpeg	date:Thu,%2019%20Dec%202019%2006:36:23%20GMT	https://pbs.twimg.com/profile_images/1207550729654812672/i5LSExza_400x400.jpg	C:/My%20Web%20Sites/el%20tweet/pbs.twimg.com/profile_images/1207550729654812672/i5LSExza_400x400.jpg	(from https://tweetermusk.ug/)
06:21:06	30533/30533	---M--	200	added ('OK')	image/jpeg	date:Sun,%2010%20Jan%202021%2009:23:34%20GMT	https://pbs.twimg.com/profile_images/1348199292868112384/f-yAGCLQ_400x400.jpg	C:/My%20Web%20Sites/el%20tweet/pbs.twimg.com/profile_images/1348199292868112384/f-yAGCLQ_400x400.jpg	(from https://tweetermusk.ug/)
06:21:07	20573/20573	---M--	200	added ('OK')	image/jpeg	date:Thu,%2003%20Sep%202015%2017:46:35%20GMT	https://pbs.twimg.com/profile_images/639495218019061760/pGFuWDk1_400x400.jpg	C:/My%20Web%20Sites/el%20tweet/pbs.twimg.com/profile_images/639495218019061760/pGFuWDk1_400x400.jpg	(from https://tweetermusk.ug/)
06:21:08	89476/89476	---M-Z	200	added ('OK')	application/javascript	etag:%2215d84-5bc3ed979d3a5-gzip%22	https://tweetermusk.ug/jquery-3.5.1.min.js	C:/My%20Web%20Sites/el%20tweet/tweetermusk.ug/jquery-3.5.1.min.js	(from https://tweetermusk.ug/)
06:21:09	1064/1064	---M-Z	200	added ('OK')	application/javascript	etag:%22428-5bc3ed97a6045-gzip%22	https://tweetermusk.ug/scripts.js	C:/My%20Web%20Sites/el%20tweet/tweetermusk.ug/scripts.js	(from https://tweetermusk.ug/)
